년도,지역,클럽명,활동시간,종목,기타종목,장애유형,승인일,센터명
2022,광주 서구,광주광역시장애인서구파크골프동호인클럽,매주 월.수.금 13시~18시,파크골프,골프,지체장애,2022-01-28,생활체육정보센터
2022,대구 북구,론볼북구클럽,매주 토요일 13~15시,론볼,,뇌병변장애,2022-02-03,생활체육정보센터
2022,경남 고성군,고룡이,월수금,게이트볼,,지체장애,2022-01-24,생활체육정보센터
2022,경남 진주시,꿈꾸는 당구클럽,"매주 월,화,수,목,금  오후2시~5시",당구,,지체장애,2022-01-18,생활체육정보센터
2022,경남 창원시,경남장애인승마클럽,매월 넷째주 금 오전 10시,승마,,지적장애,2022-01-24,생활체육정보센터
2022,경남 거제시,헬렌켈러요가댄스,"매주 토, 일 오후1시",기타,요가,청각장애,2022-01-14,생활체육정보센터
2022,경남 양산시,마린보이(수영),매주 월요일 오후 4시,수영,,지적장애,2022-02-03,생활체육정보센터
2022,강원 강릉시,하모니당구클럽,매주 월~금 오후 1~4시,당구,,기타장애,2022-01-13,생활체육정보센터
2022,광주 남구,광주장애인남구재석파크골프동호인,매주 화.목.토13시~18시,파크골프,골프,기타장애,2022-01-28,생활체육정보센터
2022,광주 동구,광주장애인동구무등산파크골프동호인,매주월.수.금 13시~18시~,파크골프,골프,기타장애,2022-01-28,생활체육정보센터
2022,광주 서구,광주장애인빛고을파크골프동호인,매주 금.토.일 13시~18시,파크골프,골프,기타장애,2022-01-28,생활체육정보센터
2022,광주 동구,광주장애인동구럭키파크골프동호인클럽,매주 화.목.토13~18,파크골프,골프,기타장애,2022-01-28,생활체육정보센터
2022,대구 수성구,금호론볼클럽,매주토및수시.오후2시-6시사이,론볼,,뇌병변장애,2022-02-03,생활체육정보센터
2022,경남 창원시진해구,진해벚꽃장애인파크골프동우회,"매주 금,토",파크골프,,지체장애,2022-02-03,생활체육정보센터
2022,경남 창원시진해구,진해벚꽃장애인게이트볼동호회,매일,게이트볼,,지체장애,2022-02-03,생활체육정보센터
2022,경남 창원시진해구,드림홀인원,매주 토.일,파크골프,골프,기타장애,2022-01-17,생활체육정보센터
2022,경남 사천시,경남휠다이노스,"매주 화,금 오후13시30분",야구소프트볼,,지체장애,2022-01-06,생활체육정보센터
2022,경남 김해시,김해장애인슐런클럽,"매주 화, 금 오후 1시 ~ 6시",슐런,,지체장애,2022-01-27,생활체육정보센터
2022,경남 김해시,김해시척수장애인슐런클럽,"매주 토, 오후 1시 ~ 6시",슐런,,지체장애,2022-01-27,생활체육정보센터
2022,경남 사천시,와룡장애인탁구동호회,14시~16시,탁구,,지체장애,2022-01-06,생활체육정보센터
2022,경남 통영시,통영이순신등산클럽,매주 수 오후 1시,기타,등산,기타장애,2022-01-10,생활체육정보센터
2022,경남 통영시,통영이순신낚시클럽,매주 목 오후 4시,기타,낚시,기타장애,2022-01-10,생활체육정보센터
2022,경남 통영시,통영이순신한궁클럽,매주 수 오후 3시,기타,기타,기타장애,2022-01-10,생활체육정보센터
2022,광주 광산구,빛고을광청,매주 토요일 19:00~21:00,볼링,,청각장애,2022-02-03,생활체육정보센터
2022,경남 의령군,토요애장애인배드민턴클럽,매주 목 2시,배드민턴,,지체장애,2022-02-03,생활체육정보센터
2022,경남 의령군,토요애장애인게이트볼클럽,매주 토 오후1시반,게이트볼,,지체장애,2022-02-03,생활체육정보센터
2022,대구 수성구,위드휠클럽,"매주 화,목 19:00~22:00",배드민턴,,지체장애,2022-02-03,생활체육정보센터
2022,대구 달서구,성인장애인 달구벌한궁클럽,매주 목요일 오후 2시~3시,기타,기타,지적장애,2022-02-03,생활체육정보센터
2022,대구 달서구,성인장애인달구벌슐런클럽,매주 화요일 10:00~11:00,슐런,,지체장애,2022-02-03,생활체육정보센터
2022,대구 중구,대구휠라이온즈,매주 일 오후2~4시,야구소프트볼,야구,지체장애,2022-02-03,생활체육정보센터
2022,제주 제주시,스파이크좌식배구클럽,"매주 목,토,일 18:00~21:00",배구,,지체장애,2022-02-03,생활체육정보센터
2022,대구 달서구,달구벌탁구클럽,"매주 월,수,금 오후 1시-5시",탁구,,지체장애,2022-02-03,생활체육정보센터
2022,충북 영동군,희망영동탁구클럽,매주 월요일/ 오후1시,탁구,,지체장애,2022-02-03,생활체육정보센터
